text,labels
"Я ответственный и пунктуальный, всегда соблюдаю сроки.","['ответственный', 'пунктуальный']"
Люблю работать в команде и помогать коллегам.,"['командный', 'поддерживающий']"
"Трудно справляться со стрессом, иногда теряюсь при дедлайнах.","['минус_стресс', 'минус_неуверенность']"
Я быстро устаю от однотипных задач.,['минус_усталость']
"Всегда стараюсь доводить начатое до конца, даже если сложно.",['нацелен_на_результат']
"Часто нервничаю, если не понимаю задачу.",['минус_нервозность']
"Обладаю аналитическим складом ума, люблю систематизировать информацию.","['аналитичный', 'структурированный']"
"Мне сложно начинать новые дела, долго раскачиваюсь.",['минус_прокрастинация']
"Умею договариваться с разными людьми, легко иду на компромисс.","['коммуникабельный', 'дипломатичный']"
Иногда забываю о дедлайнах и откладываю задачи.,"['минус_тайм', 'минус_прокрастинация']"
"Стрессоустойчивый, даже в аврале сохраняю спокойствие.",['стрессоустойчивый']
"Избегаю конфликтов, предпочитаю мирное решение.","['спокойный', 'неконфликтный']"
"Не люблю выступать публично, это вызывает волнение.",['минус_волнение']
"Инициативен, часто предлагаю улучшения в работе.",['инициативный']
"Слабо разбираюсь в документации, часто прошу помощи.",['минус_некомпетентность']
"Постоянно учусь, люблю узнавать новое.","['любознательный', 'обучаемый']"
"Часто отвлекаюсь, сложно держать фокус.",['минус_внимательность']
"Я перфекционист, иногда торможу процессы.",['минус_перфекционизм']
"Люблю чёткие инструкции, не люблю неопределённость.","['структурированный', 'минус_гибкость']"
Предпочитаю выполнять задания в одиночку.,['самостоятельный']
 